ingilizce;Türkçe
this is faster than that car;bu o arabadan daha hýzlý
delicious;lezzetli
ý come from to office with the car;ofisten araba ile geldim
ý come from to house from to office;evden ofise geldim
his work permit;çalýþma izni
throttle;boðaz
stomach;mide
nail;týrnak
elbow;dirsek
heel;topuk
wrist;bilek
ear;kulak
tooth;diþ
cheek;yanak
sparrow;serçe
pigeon;güvercin
ladybird;uður böceði
owl;baykuþ
dragonfly;yusufçuk
get well soon;çabuk iyileþ
well done;aferin
canary;kanarya
parrot;papaðan
goat;keçi
lobster;Istakoz
frog;kurbaða
crow;karga
deer;geyik
mosque;cami
singer;þarkýcý
widowed;dul
engaged;niþanlý
divorce;boþanma
nephew;erkek yeðen
colleague;çalýþma arkadaþý
fiancee;niþanlý
fiance;niþanlý
wash;yýkama
hold;ambar
cucumber;salatalýk
peach;þeftali
pear;armut
pineapple;Ananas
cabbage;lahana
jealous;kýskanç
light;ýþýk
eraser;silgi
plural;çoðul
singular;tekil
concrete;beton
laugh;gülmek
queen;kraliçe
lamb;Kuzu
measure;ölçmek
treasure;hazine
patient;hasta
decision;karar
dimension;boyut
rope;Halat
cylinder;silindir
gipsy;çingene gibi yaþamak
cage;kafes
pose;poz
ants;karýncalar
bees;arýlar
nightmare;kâbus
obvious;açýk
injured;yaralý
determiner;belirteç
investigation;soruþturma
outset;baþlangýç
tough;sert
generate;üretmek
genius;deha
cease;durdurmak
vowels;sesli harfler
conventional;Konvansiyonel
Suppose;varsaymak
forth;ileri
